,screen_name,date,text,compound,negative,neutral,positive
34,nytimes,Fri Feb 02 22:35:04 +0000 2018,"Kenya's government is defying a court order to put 4 private TV stations back on the air, escalating a week of poli… https://t.co/ZbaNVkpdbL",0.0,0.0,1.0,0.0
35,nytimes,Fri Feb 02 22:31:19 +0000 2018,@pete_wells Salt Bae opened a steakhouse in New York City. We sent our restaurant critic @pete_wells.… https://t.co/MPjDTqFXmg,-0.2732,0.123,0.877,0.0
36,nytimes,Fri Feb 02 22:18:03 +0000 2018,Our reporters analyzed the previously secret GOP memo on the Russia inquiry. Here are their notes alongside the mem… https://t.co/siCQcABdsg,0.0,0.0,1.0,0.0
37,nytimes,Fri Feb 02 22:03:03 +0000 2018,RT @benshpigel: The Eagles' embrace of data and counterintuitive thinking powered them to the Super Bowl. I visited the analytics firm behi…,0.7351,0.0,0.754,0.246
38,nytimes,Fri Feb 02 21:51:06 +0000 2018,"Modern Love: ""I told myself that, despite my own past struggles with fidelity, I would do it better this time"" https://t.co/oUnM3BiIMD",0.6808,0.094,0.639,0.267
39,nytimes,Fri Feb 02 21:35:07 +0000 2018,"As more predators are being brought to justice, more men in England and Wales are reporting abuse and seeking help… https://t.co/GGSpaKVcoj",-0.2023,0.158,0.714,0.128
40,nytimes,Fri Feb 02 21:20:07 +0000 2018,Salt Bae opened a steakhouse to New York City. We sent our restaurant critic @pete_wells. https://t.co/VQ1VoGD9jO,-0.2732,0.13,0.87,0.0
41,nytimes,Fri Feb 02 21:16:36 +0000 2018,"RT @amyfiscus: NEW: The FBI was a lot more forthcoming about Steele than the Nunes memo says, per the Dem memo https://t.co/EmYyFcHQ0T http…",0.0,0.0,1.0,0.0
42,nytimes,Fri Feb 02 21:13:03 +0000 2018,Breaking News: Stocks ended a bad week with a sharp drop today. Investors appear to be skittish about rising intere… https://t.co/RD6CoDXsts,-0.6808,0.248,0.752,0.0
43,nytimes,Fri Feb 02 21:05:40 +0000 2018,"What if your employer made you wear a wristband that tracked your every move, and that even nudged you when it judg… https://t.co/yERq79UXlk",0.0,0.0,1.0,0.0
44,nytimes,Fri Feb 02 20:55:00 +0000 2018,"2. ""Zora Neale Hurston Fieldwork Footage"" (1928): The author and anthropologist's look at ordinary black Southerner… https://t.co/fH92EvgSL7",0.0,0.0,1.0,0.0
45,nytimes,Fri Feb 02 20:47:14 +0000 2018,"Fettuccine with sausage and fried sage makes an elegant, satisfying 30 minute meal https://t.co/m4Lz70zseM https://t.co/S7lyzy6ZLT",0.7269,0.0,0.681,0.319
46,nytimes,Fri Feb 02 20:30:19 +0000 2018,"Rebekah Martinez was reported missing in November, despite appearing on ""The Bachelor"" and being on social media https://t.co/uJQv5rmhwR",-0.296,0.115,0.885,0.0
47,nytimes,Fri Feb 02 20:15:11 +0000 2018,The worst flu season in nearly a decade has filled emergency rooms and strained resources at medical centers. “We t… https://t.co/QUNAGTqHQm,-0.9001,0.429,0.571,0.0
48,nytimes,Fri Feb 02 20:05:03 +0000 2018,"RT @jdelreal: My latest: The Brock Turner sexual assault case drew national outrage. Now, the effort to recall the judge has revealed sharp…",-0.7964,0.253,0.747,0.0
49,nytimes,Fri Feb 02 19:55:01 +0000 2018,These girls want to compete as Jamaica's first Olympic synchronized swimmers. Here's more good news: https://t.co/SBKv9OLdrl,0.5413,0.0,0.757,0.243
50,nytimes,Fri Feb 02 19:44:52 +0000 2018,RT @amyfiscus: What's NOT in the memo might be just as important as what is. @charlie_savage is annotating it live: https://t.co/XcmiuzQJ21,0.2023,0.0,0.917,0.083
51,nytimes,Fri Feb 02 19:42:42 +0000 2018,"The full text of the memo released by House Republicans, annotated https://t.co/aez7u496OC",0.0,0.0,1.0,0.0
52,nytimes,Fri Feb 02 19:40:07 +0000 2018,"RT @nytimesmusic: When Justin Timberlake was announced as the performer for this year’s Super Bowl halftime show, the memory of one of pop’…",0.5994,0.0,0.849,0.151
53,nytimes,Fri Feb 02 19:30:13 +0000 2018,The Charleston Gazette-Mail won a Pulitzer Prize last year for its dogged coverage of West Virginia's opioid crisis… https://t.co/Vo4wRzC00V,0.7906,0.0,0.696,0.304
54,nytimes,Fri Feb 02 19:23:03 +0000 2018,The memo released by House Republicans falls short of what some promised: that it would cast doubt on the origins o… https://t.co/zyKN3U0GUl,0.0,0.1,0.8,0.1
55,nytimes,Fri Feb 02 19:15:12 +0000 2018,Alec Baldwin skewers President Trump on SNL. And supports Woody Allen and James Toback. https://t.co/VMNgGI2KXj,0.3612,0.0,0.848,0.152
56,nytimes,Fri Feb 02 19:00:18 +0000 2018,An Arizona man said he sold 720 rounds of ammunition to the Las Vegas gunman https://t.co/nmsLE0yTQa,0.0,0.0,1.0,0.0
57,nytimes,Fri Feb 02 18:50:09 +0000 2018,"The Met isn’t trying to create a slasher opera. But this director is flooding the theater's stage with over 1,000 g… https://t.co/aeZybVQf2n",0.2732,0.0,0.905,0.095
58,nytimes,Fri Feb 02 18:40:01 +0000 2018,7 Humane Society board members have resigned in protest of a decision to keep the CEO in the job despite allegation… https://t.co/eaiS33dE1d,-0.4588,0.182,0.818,0.0
59,nytimes,Fri Feb 02 18:30:09 +0000 2018,Carter Page is at the center of the Republicans' newly released memo. @nytmag wrote a profile of him in December. https://t.co/bqV3u94G1b,0.0,0.0,1.0,0.0
60,nytimes,Fri Feb 02 18:20:05 +0000 2018,"Opinion: ""He went from being a devoted and loving father and husband to someone who felt like a ghost in our home"" https://t.co/mdIktGBLLF",0.7783,0.081,0.599,0.32
61,nytimes,Fri Feb 02 18:06:52 +0000 2018,Read the full text of the previously secret memo released by House Republicans https://t.co/0tuY7RCto4,0.0,0.0,1.0,0.0
62,nytimes,Fri Feb 02 17:53:08 +0000 2018,What changes are you seeing in how sexual harassment is being dealt with in your workplace and community? Share you… https://t.co/BMOUfAjBls,-0.3182,0.142,0.769,0.089
