,screen_name,date,text,compound,negative,neutral,positive
29,FoxNews,Sat Feb 03 00:38:34 +0000 2018,Video of Tom Brady kissing son on the lips sparks internet outcry https://t.co/QDgBtmxDzY,0.1027,0.183,0.611,0.206
30,FoxNews,Sat Feb 03 00:30:03 +0000 2018,".@jasoninthehouse: ""It's shocking how willingly &amp; easily the senior leadership of the @FBI was manipulated, &amp; to ha… https://t.co/GTF95RoSLI",-0.4404,0.224,0.675,0.101
31,FoxNews,Sat Feb 03 00:21:32 +0000 2018,".@RepPeteKing: ""The American public should realize: this isn't giving somebody a traffic ticket. Going into a FISA… https://t.co/3obpQ0gG7T",-0.2584,0.12,0.88,0.0
32,FoxNews,Sat Feb 03 00:18:08 +0000 2018,".@RepPeteKing: ""I was one of those people who, over the years, supported Jim Comey. I am really disappointed. That… https://t.co/O8gHRsm5k8",-0.2716,0.15,0.749,0.101
33,FoxNews,Sat Feb 03 00:15:11 +0000 2018,".@mschlapp on Dem contradictions over FISA memo: ""Is it gonna destroy our national security if this document is rel… https://t.co/PkD2K7hWmN",-0.5267,0.23,0.675,0.095
34,FoxNews,Fri Feb 02 23:56:27 +0000 2018,".@ByronYork on GOP FISA memo: ""The release of this memo has created a lot of momentum for the release of more stuff… https://t.co/EwMF6M8eBM",0.25,0.0,0.913,0.087
35,FoxNews,Fri Feb 02 23:51:24 +0000 2018,".@SusanPage on GOP FISA memo: ""[@POTUS'] tweet this morning, the president's comments... indicate that he would lik… https://t.co/rsUAq5cRWV",0.0,0.0,1.0,0.0
36,FoxNews,Fri Feb 02 23:35:43 +0000 2018,".@DevinNunes on @Comey tweets: ""I think the American people understand that the FBI should not go to secret courts… https://t.co/xmNYn1Khfh",0.0,0.0,1.0,0.0
37,FoxNews,Fri Feb 02 23:30:47 +0000 2018,".@DevinNunes on GOP FISA memo: ""This is not trying to go after some terrorist... the FBI opened a counterintelligen… https://t.co/yvWSZjMYcN",0.0,0.0,1.0,0.0
38,FoxNews,Fri Feb 02 23:26:43 +0000 2018,".@DevinNunes on the Democrats' FISA memo: ""I get tired of playing whack-a-mole every day with the Democrats on this… https://t.co/Qi8AuyTMVO",-0.2732,0.128,0.793,0.079
39,FoxNews,Fri Feb 02 23:19:09 +0000 2018,".@DevinNunes on GOP FISA memo: ""The only area that I am familiar with that we left out would be the history of Cart… https://t.co/Hh2X73T8oE",0.0,0.0,1.0,0.0
40,FoxNews,Fri Feb 02 23:12:20 +0000 2018,".@DevinNunes on GOP FISA memo: ""I didn't want to have to do this but the sad part is is that I have an obligation t… https://t.co/7E7cqIfFxg",-0.6441,0.186,0.814,0.0
41,FoxNews,Fri Feb 02 23:05:49 +0000 2018,Medal of Honor Recipients to Participate in Super Bowl Coin Toss https://t.co/nYKMjgHMEI,0.8807,0.0,0.469,0.531
42,FoxNews,Fri Feb 02 22:51:02 +0000 2018,The father of three Larry Nassar sex assault victims won't be charged after he lunged at the disgraced doctor in a… https://t.co/4A86eKVqSg,-0.818,0.317,0.627,0.055
43,FoxNews,Fri Feb 02 22:50:41 +0000 2018,Herschel Walker: Players Received 'Hush Money' From NFL to Stand for Anthem https://t.co/nxRgTzbXh7,0.0,0.0,1.0,0.0
44,FoxNews,Fri Feb 02 22:43:05 +0000 2018,"BREAKING: Jon Huntsman Sr., billionaire philanthropist and father of the ambassador to Russia, Jon Jr., is dead at… https://t.co/qtULnUAJHU",-0.6486,0.193,0.807,0.0
45,FoxNews,Fri Feb 02 22:41:25 +0000 2018,What does this hippo know that we don't? Fiona the Hippo registered her @SuperBowl pick at the @CincinnatiZoo on Th… https://t.co/GQBYsZRHhF,0.0,0.0,1.0,0.0
46,FoxNews,Fri Feb 02 22:39:11 +0000 2018,".@TheJuanWilliams on emotional support peacock woman reportedly tried to bring on flight: ""I don't get this. But it… https://t.co/LqxJAE6Ez5",0.5106,0.0,0.798,0.202
47,FoxNews,Fri Feb 02 22:30:03 +0000 2018,TUNE IN: Rep. Devin Nunes speaks exclusively to @BretBaier tonight at 6p ET on Fox News Channel's #SpecialReport.… https://t.co/OYKmK24X1h,0.0,0.0,1.0,0.0
48,FoxNews,Fri Feb 02 22:22:30 +0000 2018,What is Nunes' FISA memo? 6 things to know about the secret document https://t.co/cc5RkmAUNa,0.0,0.0,1.0,0.0
49,FoxNews,Fri Feb 02 22:16:00 +0000 2018,"Flu hospitalizations are 'the highest we've seen,' CDC says https://t.co/gDOtrNj1Qh",-0.3818,0.224,0.776,0.0
50,FoxNews,Fri Feb 02 22:10:05 +0000 2018,Winter Olympic athletes to receive record number of condoms https://t.co/dc1jtJ3iTi,0.0772,0.0,0.874,0.126
51,FoxNews,Fri Feb 02 22:03:01 +0000 2018,"Russia building a 'doomsday' torpedo, leaked Pentagon report draft says https://t.co/HhRMtEfLBT",-0.3182,0.204,0.796,0.0
52,FoxNews,Fri Feb 02 22:02:02 +0000 2018,"Warner Wolf on NFL protests: ""If I'm a serviceman, especially an active duty, and I see [NFL players] disrespect th… https://t.co/jJGCfIcUxi",-0.1832,0.198,0.676,0.126
53,FoxNews,Fri Feb 02 21:51:59 +0000 2018,Nunes' FISA memo sparks reactions from politicians https://t.co/9EkWpD87X4,0.0,0.0,1.0,0.0
54,FoxNews,Fri Feb 02 21:47:44 +0000 2018,"Tom Dupree on GOP FISA memo: ""The memo makes a very serious charge, make no mistake about that. It essentially accu… https://t.co/oHqjlWC5E8",-0.6361,0.256,0.744,0.0
55,FoxNews,Fri Feb 02 21:39:50 +0000 2018,Medal of Honor Recipients to Participate in Super Bowl Coin Toss https://t.co/bVrjyujYFA,0.8807,0.0,0.469,0.531
56,FoxNews,Fri Feb 02 21:35:30 +0000 2018,"Bre Payton on GOP FISA memo: ""It's very clear that the FBI was aware that [Christopher Steele] was an unreliable so… https://t.co/fxQm13tI5I",0.4391,0.0,0.879,0.121
57,FoxNews,Fri Feb 02 21:24:05 +0000 2018,.@AlanDersh: The Nunes FISA memo deserves more investigation. Time for a nonpartisan commission https://t.co/PqKPq9QB9H,0.0,0.0,1.0,0.0
58,FoxNews,Fri Feb 02 21:22:17 +0000 2018,".@DianeBlackTN on FISA memo: ""This is serious stuff when the government is allowed to go and investigate American c… https://t.co/5p6ktnLr3s",-0.0772,0.064,0.936,0.0
59,FoxNews,Fri Feb 02 21:18:17 +0000 2018,"RT @FoxBusiness: #BreakingNews: Dow sees steepest selloff since Brexit on June 24, 2016 https://t.co/jGJpsvx3cb https://t.co/92Wq4bQKr0",0.0,0.0,1.0,0.0
60,FoxNews,Fri Feb 02 21:15:40 +0000 2018,"Brian Brenberg on rising interest rates: ""Wall Street's throwing a tantrum here because they don't like the fact th… https://t.co/QJv882DrSt",-0.2287,0.205,0.669,0.125
61,FoxNews,Fri Feb 02 21:00:02 +0000 2018,"TONIGHT on ""Special Report,"" @DevinNunes speaks exclusively to @BretBaier  - Tune in at 6p ET on Fox News Channel. https://t.co/jB06HKnAz5",0.4019,0.0,0.87,0.13
62,FoxNews,Fri Feb 02 20:59:04 +0000 2018,Dow drops more than 600 points; @GerriWillisFBN discusses with @ShepNewsTeam. https://t.co/JtMGUw2LTW,0.0,0.0,1.0,0.0
63,FoxNews,Fri Feb 02 20:49:16 +0000 2018,".@ShepNewsTeam: ""The Dow is off 645 points, 2.48%. That is the largest day drop, if it closes like this, since Brex… https://t.co/tu5ie2elj2",0.1027,0.085,0.813,0.102
64,FoxNews,Fri Feb 02 20:46:34 +0000 2018,Attorneys for former Trump campaign adviser Rick Gates asks to withdraw from case. https://t.co/6vlktACwcJ,0.0,0.0,1.0,0.0
65,FoxNews,Fri Feb 02 20:40:40 +0000 2018,".@NancyPelosi, prior to #memo's release: ""It's a bogus memo. It's not based on fact."" https://t.co/tdXiIGDNNv https://t.co/Fo1ioubuNx",0.0,0.0,1.0,0.0
66,FoxNews,Fri Feb 02 20:36:54 +0000 2018,James @Comey slams FISA memo as 'dishonest' and 'misleading' - @via @brookefoxnews https://t.co/SleE87LWtR https://t.co/P7CPFqrGhW,0.0,0.0,1.0,0.0
67,FoxNews,Fri Feb 02 20:34:56 +0000 2018,".@TomFitton: ""There's no Mueller investigation without the dossier paid for by Clinton and @DNC funds - so the whol… https://t.co/0lDKcBxpXF",-0.296,0.109,0.891,0.0
68,FoxNews,Fri Feb 02 20:27:45 +0000 2018,"Chris Wallace on FISA memo: ""I wouldn't say it's worse than Watergate, as some people have said, and I wouldn't say… https://t.co/AfoHM43Mpt",0.3724,0.0,0.887,0.113
69,FoxNews,Fri Feb 02 20:27:19 +0000 2018,"James Comey slams FISA memo as 'dishonest' and 'misleading' - via @brookefoxnews
https://t.co/OaO9AL9IBg",0.0,0.0,1.0,0.0
70,FoxNews,Fri Feb 02 20:14:08 +0000 2018,"RT @FoxNewsResearch: Typical FISA Request
•Ranges 30-100 pages
•Overview of the evidence
•Legal memorandum from career intelligence lawyer…",0.4767,0.0,0.846,0.154
71,FoxNews,Fri Feb 02 20:08:57 +0000 2018,READ THE MEMO: House Intelligence Committee report on FISA abuses https://t.co/cXWV4CkoNU,-0.128,0.229,0.573,0.197
