,screen_name,date,text,compound,negative,neutral,positive
30,BBC,Fri Feb 02 14:30:05 +0000 2018,"?Missing #Winterwatch already?

Head to the BBC homepage to find a selection of @ChrisGPackham’s favourite moments… https://t.co/cEYJ6tNw8p",0.0,0.0,1.0,0.0
31,BBC,Fri Feb 02 14:03:25 +0000 2018,"RT @BBCSportWales: .@Nigelrefowens commands respect on the rugby field.

But does he need an agent? ?

This is ""Nige"" - Chapter 1: The Reun…",0.4767,0.0,0.871,0.129
32,BBC,Fri Feb 02 14:00:09 +0000 2018,"??? How to live life like a hedonist. 
? https://t.co/Dg8w8YHztM https://t.co/iUAgQZMLGH",0.3612,0.0,0.762,0.238
33,BBC,Fri Feb 02 13:30:09 +0000 2018,"? It’s long been thought that the ability to roll your tongue is a clear-cut case of genetics. 

@BBC_Future finds… https://t.co/Xs37m1gp6A",0.3182,0.0,0.887,0.113
34,BBC,Fri Feb 02 13:04:04 +0000 2018,"? Why do we say 'hello'? 
? Dr Laura Wright explains the origins of the word.
? https://t.co/CWWSObbDLz https://t.co/6YaSSOdTxd",0.0,0.0,1.0,0.0
35,BBC,Fri Feb 02 12:30:02 +0000 2018,Four things you'll only know if you play netball. ? https://t.co/w2Nd81iWmK,0.34,0.0,0.789,0.211
36,BBC,Fri Feb 02 12:00:06 +0000 2018,"??? #AnimalsWithCameras: Capturing the secrets of the wild. 
? https://t.co/0rEkuFUv93 https://t.co/nvV9jgqXHe",0.0,0.0,1.0,0.0
37,BBC,Fri Feb 02 11:42:04 +0000 2018,"RT @BBCOne: When penguins... HONK!... interrupt... HONK!... your TV interview... HONK! ? ? 

#AnimalsWithCameras. Thursdays at 8pm on @BBCO…",0.0,0.0,1.0,0.0
38,BBC,Fri Feb 02 09:42:20 +0000 2018,? Not everyone is upset that parts of Paris are still under water. https://t.co/5piIQ5YiPn,-0.3818,0.178,0.822,0.0
39,BBC,Fri Feb 02 09:38:47 +0000 2018,"RT @bbcweather: It's #GroundhogDay today. If a groundhog emerges from his burrow and sees his shadow, legend has it winter will continue fo…",0.0,0.0,1.0,0.0
40,BBC,Fri Feb 02 09:01:03 +0000 2018,"? The accidental ‘insurance policy’ that might just save the endangered Scottish wildcat from extinction. 
?… https://t.co/mJuJ05osWA",0.4404,0.07,0.757,0.173
41,BBC,Fri Feb 02 08:40:01 +0000 2018,What can Dr Love teach you about sex? https://t.co/yFkp8NHiV8,0.6369,0.0,0.656,0.344
42,BBC,Fri Feb 02 08:20:04 +0000 2018,"Alex La Guma was an activist writer from Cape Town who fought for freedom and stood trial with Nelson Mandela.
?… https://t.co/fqEcmbE9n4",0.4404,0.087,0.755,0.158
43,BBC,Fri Feb 02 08:00:02 +0000 2018,? A look into the world of incredibly life-like dolls known as 'reborn babies'. https://t.co/1IqNb832Me,0.0,0.0,1.0,0.0
44,BBC,Fri Feb 02 07:39:03 +0000 2018,"? Why did our ancestors eat meat? ?
? https://t.co/mujexNvff4 https://t.co/leiebK58dy",0.0,0.0,1.0,0.0
45,BBC,Thu Feb 01 20:05:41 +0000 2018,"RT @BBCSpringwatch: White stoat taking an egg for a walk!

This beautiful stoat in ermine stole 14 eggs from a house in Dalwhinnie! 

#Wint…",0.6688,0.0,0.824,0.176
46,BBC,Thu Feb 01 20:03:14 +0000 2018,RT @BBCNewsbeat: When you realise it's no longer January https://t.co/7zUxH8lzBI,-0.296,0.196,0.804,0.0
47,BBC,Thu Feb 01 20:02:07 +0000 2018,"RT @bbcgetinspired: Quick! Get your five-a-side team together and sign up for the #FAPeoplesCup

What are you waiting for? ? https://t.co/c…",0.0,0.0,1.0,0.0
48,BBC,Thu Feb 01 20:01:47 +0000 2018,"RT @BBCBreakfast: Happiness at school is more important than academic qualifications.
That's according to a major report from the @LSEnews…",0.6901,0.0,0.749,0.251
49,BBC,Thu Feb 01 19:00:06 +0000 2018,? Wildlife film-maker @gordonjbuchanan explores the secret lives of animals through their eyes.… https://t.co/f4YdvUCcae,0.0,0.0,1.0,0.0
50,BBC,Thu Feb 01 18:30:08 +0000 2018,"Get yourself a quick protein fix with these delicious recipes. ?
? https://t.co/y3M30b6Y1x https://t.co/C5a26fXNfO",0.5719,0.0,0.73,0.27
51,BBC,Thu Feb 01 18:04:00 +0000 2018,"RT @cbbc: The lovely @NewHopeClub helped #BluePeter open the amazing #birthday post for the 5000 show!

#mail #post #boyband #thursdaythoug…",0.8356,0.0,0.695,0.305
52,BBC,Thu Feb 01 18:01:01 +0000 2018,?? Meet the 'Salmon Sisters' - two fisherwomen braving rough seas to make a living. https://t.co/Gvgna1ox33,0.0,0.0,1.0,0.0
53,BBC,Thu Feb 01 17:32:28 +0000 2018,RT @bbc5live: “It isn’t about keeping us off the streets. It is about giving us the same opportunity to do whatever anyone else is doing.”…,0.6369,0.0,0.816,0.184
54,BBC,Thu Feb 01 17:30:11 +0000 2018,"???? How well would you do on a Harry Potter Mastermind round?
? https://t.co/8RXB6xezdW https://t.co/RbA7Badqxa",0.2732,0.0,0.851,0.149
55,BBC,Thu Feb 01 17:07:07 +0000 2018,"RT @BBC6Music: ""...your whole skin is like an eardrum... "" 
Before visiting @LaurenLaverne, David Byrne (@DBtodomundo) watched the BBC's Bl…",0.3612,0.0,0.878,0.122
56,BBC,Thu Feb 01 17:02:02 +0000 2018,"If you're still struggling to do the downward dog, you've got your work cut out. She's 98 by the way. ?? https://t.co/6HBcSsungS",-0.5994,0.197,0.803,0.0
57,BBC,Thu Feb 01 15:30:03 +0000 2018,"?? Remember this classic moment? 

?? The 5,000th episode of #BluePeter is at 5.30pm today!   https://t.co/NqcikyNKEU",0.0,0.0,1.0,0.0
58,BBC,Thu Feb 01 14:53:04 +0000 2018,"'It was very uplifting.'

??? A new play is recreating the final months of David Bowie's life. ?… https://t.co/wifJm3f7sC",0.34,0.0,0.876,0.124
59,BBC,Thu Feb 01 14:00:11 +0000 2018,A killer whale that can mimic words such as 'hello' and 'bye bye' is thought to be the first of its kind to copy hu… https://t.co/Bqm8LkHeoF,-0.2263,0.14,0.749,0.111
60,BBC,Thu Feb 01 13:40:09 +0000 2018,"RT @BBCRadio2: ? ""If you're always reacting to stuff coming in, you're not often having your own original thoughts""

On #TimeToTalk Day, @j…",0.3182,0.0,0.901,0.099
61,BBC,Thu Feb 01 13:33:02 +0000 2018,"? For 32 years, fake news stopped women competing in track events at the Olympics.
#QI https://t.co/X191YVfhTt",-0.6124,0.263,0.737,0.0
62,BBC,Thu Feb 01 13:23:42 +0000 2018,"RT @bbccomedy: #BigCats is a lot weirder than we thought tbh, @BBCOne . ? https://t.co/8m0BNrP0pi",-0.128,0.12,0.88,0.0
63,BBC,Thu Feb 01 13:23:03 +0000 2018,"RT @BBCSpringwatch: Cairngorms - A Wintery Wildlife Wonderland

#Winterwatch https://t.co/bLFBP6u29f",0.0,0.0,1.0,0.0
64,BBC,Thu Feb 01 13:19:16 +0000 2018,"RT @cbbc: We want 5000 loves for 5000 #BluePeter shows! Like &amp; share if you had a badge or loved it!

@RealSarahGreene @missjanetellis @Mar…",0.9214,0.0,0.559,0.441
65,BBC,Thu Feb 01 13:09:56 +0000 2018,"RT @bbcworldservice: ""People ask me if I shower in my hijab."" #WorldHijabDay https://t.co/HRIaGg3xkb",0.0,0.0,1.0,0.0
66,BBC,Thu Feb 01 13:00:07 +0000 2018,?? A group of students have used the power of maths to create the perfect roast potato and now we're really hungry.… https://t.co/oPVWhZ4UXL,0.7003,0.0,0.775,0.225
67,BBC,Thu Feb 01 12:37:56 +0000 2018,"RT @bbcthree: Meet #TheYoungOffenders. They're sort of like that Robin Hood fella; they rob bikes from the rich, and sell them back to 'em.…",0.2975,0.118,0.691,0.191
68,BBC,Thu Feb 01 12:34:29 +0000 2018,"RT @bbcgetinspired: Think you can do better than the England women? - sign up for the #FAPeoplesCup

All the details you need are here: htt…",0.4404,0.0,0.888,0.112
69,BBC,Thu Feb 01 12:30:09 +0000 2018,Could starting an avalanche save your life? https://t.co/iAegidgaOg,0.4939,0.0,0.686,0.314
70,BBC,Thu Feb 01 12:00:11 +0000 2018,"Why are wild theories about contrails and other phenomena so persistent on social media?
? https://t.co/wENYkqooCP https://t.co/CpODezFnhh",0.0,0.0,1.0,0.0
71,BBC,Thu Feb 01 11:31:08 +0000 2018,Here's what the #SuperBlueBloodMoon looked like around the world last night. ? ? https://t.co/204X0f0Auc https://t.co/j1ZtOLrWUM,0.3612,0.0,0.828,0.172
72,BBC,Thu Feb 01 10:48:03 +0000 2018,"??? Which of these garden birds are you most like? Take this quiz and find out!
? https://t.co/dzO2BXY4lj https://t.co/l3cvAQdpXQ",0.474,0.0,0.846,0.154
73,BBC,Thu Feb 01 10:39:17 +0000 2018,"?? Happy 24th birthday to this talented guy!
#HappyBirthdayHarry https://t.co/tfH8uFZ5Q3",0.8346,0.0,0.504,0.496
74,BBC,Thu Feb 01 10:00:06 +0000 2018,"Mental illnesses often have invisible symptoms. Can VR help people show what's going on inside their heads, for rea… https://t.co/jaTJNrcqTG",-0.128,0.134,0.753,0.113
75,BBC,Thu Feb 01 09:29:03 +0000 2018,"? From Monica McWilliams to Madeha Al Ajroush, here are five remarkable women who broke the glass ceiling. 
?… https://t.co/BNnV6PuRM1",0.2023,0.12,0.726,0.154
76,BBC,Thu Feb 01 09:00:03 +0000 2018,?? #SuperBlueBloodMoon provides astronomical spectacle around the world. https://t.co/0WpmgfppC4,0.0,0.0,1.0,0.0
77,BBC,Thu Feb 01 08:52:34 +0000 2018,RT @bbcrb: Lovely slice of ballooning history here from #BluePeter! ? https://t.co/ZtCguwpfpu,0.6239,0.0,0.71,0.29
78,BBC,Thu Feb 01 08:51:07 +0000 2018,"RT @CBeebiesHQ: Roses are green, ?
Violets are green. ?
Everything is burning. ?
Wildfire. ?

Natalie Dormer's #BedtimeStory is 14th Februa…",0.0,0.0,1.0,0.0
79,BBC,Thu Feb 01 08:40:01 +0000 2018,Safwan faces a race against time to be reunited with his wife and see the birth of his son. https://t.co/z5u5OzEcYi,0.0,0.0,1.0,0.0
80,BBC,Thu Feb 01 08:20:08 +0000 2018,"??? Why do paper cuts hurt so much? 
? https://t.co/QT6Yr07P0u https://t.co/EeeStLFMJ6",-0.6808,0.412,0.588,0.0
81,BBC,Thu Feb 01 08:00:03 +0000 2018,"??? Well, that's one way to wake yourself up. https://t.co/t8JXO1QUBN",0.2732,0.0,0.811,0.189
82,BBC,Thu Feb 01 07:38:11 +0000 2018,"??? Beautiful places that have inspired beautiful music.
? https://t.co/zUn7ChAfN8 https://t.co/7PHYlt0RCk",0.9001,0.0,0.389,0.611
83,BBC,Wed Jan 31 20:55:48 +0000 2018,"RT @bbcworldservice: The Lego brick, one of the world's most popular toys, celebrates its 60th birthday. We held a rare interview with Lego…",0.7939,0.0,0.739,0.261
84,BBC,Wed Jan 31 20:54:41 +0000 2018,"RT @BBCOne: ? #WondersOfTheMoon where you are! 
https://t.co/oEiK0KVLXG",0.0,0.0,1.0,0.0
85,BBC,Wed Jan 31 20:05:02 +0000 2018,"???? Find out how the moon shapes life on Earth and explore its mysterious dark side.

#WondersOfTheMoon | 9pm |… https://t.co/fiCUJ0hHFA",0.0,0.0,1.0,0.0
86,BBC,Wed Jan 31 19:05:35 +0000 2018,"RT @BBC_Teach: Teaching Shakespeare to 7-14 year-olds? Want to simplify complex plots?

Check out our retelling of Shakespeare's classic pl…",0.168,0.0,0.92,0.08
87,BBC,Wed Jan 31 19:04:29 +0000 2018,RT @bbcrb: Now Braille readers can enjoy e-reading too! https://t.co/rtr6sLq4ye,0.5411,0.0,0.72,0.28
88,BBC,Wed Jan 31 19:00:08 +0000 2018,"If you're going to blow up @TomCruise, it's best you get your timing right. 

#TheGNShow https://t.co/xyCbrUsAz8",0.6369,0.0,0.781,0.219
89,BBC,Wed Jan 31 18:30:12 +0000 2018,"?? Did you know the moon is shaped like an egg?

Here are nine out of this world facts about the Moon. 
?… https://t.co/UvUrI8Fr4k",0.3612,0.0,0.902,0.098
90,BBC,Wed Jan 31 18:00:05 +0000 2018,"Researchers analysed over 1,000 raw foods and ranked the ingredients that provide the best nutritional balance. 

?… https://t.co/mZgETrGKcO",0.6369,0.0,0.802,0.198
91,BBC,Wed Jan 31 17:30:07 +0000 2018,"? At 105, Jack Reynolds is Britain's oldest (and coolest!) daredevil.  https://t.co/MpSzycE9eL",0.2003,0.0,0.848,0.152
92,BBC,Wed Jan 31 17:00:10 +0000 2018,"? 6 extraordinary facts about music in North Korea. 
? https://t.co/cAfwpmQgk0 https://t.co/atg4zUDjpq",0.0,0.0,1.0,0.0
93,BBC,Wed Jan 31 14:31:02 +0000 2018,"?? The best #SuperBlueBloodMoon viewing time will be at dusk when the moon is low, near the horizon.… https://t.co/y9OJ1BQCTx",0.4767,0.09,0.73,0.18
94,BBC,Wed Jan 31 14:02:04 +0000 2018,"?? From banana toast to Buddha bowls, here's how you can fuel your fitness with food. 
? https://t.co/Iz938YLRIK https://t.co/h6fSLSy4cy",0.2732,0.0,0.89,0.11
95,BBC,Wed Jan 31 14:01:04 +0000 2018,"RT @bbcthree: “What’s it like to see the world in widescreen?”

Things definitely NOT to say to East Asians. https://t.co/0RTvmX9e3w",0.6369,0.0,0.776,0.224
96,BBC,Wed Jan 31 13:58:03 +0000 2018,RT @BBCTwo: When it's #TransferDeadlineDay and you're waiting for your team to sign ANYONE... ? https://t.co/1WrEIE23Ls,0.0,0.0,1.0,0.0
97,BBC,Wed Jan 31 13:31:02 +0000 2018,Meet Tallulah - the tortoise who escaped and went on the run for six months. ? https://t.co/kbi6xI6zGY,0.0,0.0,1.0,0.0
98,BBC,Wed Jan 31 13:00:06 +0000 2018,"? It's been 10 years since Heath Ledger's death at age 28. 
? Test your knowledge of his brief but brilliant film c… https://t.co/yiF5xZIohP",0.5789,0.089,0.723,0.188
99,BBC,Wed Jan 31 12:30:04 +0000 2018,"?? Welcome to the UK's largest forest, stretching over 300 square miles. 

#TheForest | Now on @BBCiPlayer https://t.co/FgsadpjI8d",0.4588,0.0,0.842,0.158
